Recommender,HitRate@5,Precision@5,Recall@5,MAP@5
Popularity by CONTINENT,0.49776785714285715,0.10513392857142856,0.4673642113095238,0.30992877294146826
Blend p2.0/g0.5/cf0.0,0.49693080357142855,0.10591517857142856,0.46981026785714286,0.289622085813492
Popularity baseline,0.4935825892857143,0.10524553571428572,0.46646205357142856,0.2433744884672619
Popularity (global),0.4935825892857143,0.10524553571428572,0.46646205357142856,0.2433744884672619
CF + popularity (w=5.0),0.4916294642857143,0.10474330357142857,0.4645321800595238,0.24543805803571428
Popularity by COUNTRY,0.49107142857142855,0.10301339285714285,0.4608677455357143,0.30372775607638886
Content-Based,0.30245535714285715,0.06261160714285714,0.28480747767857145,0.10345865885416668
Item-Item CF,0.29017857142857145,0.06015625000000001,0.2741350446428571,0.10146600632440476
SVD (12 factors),0.28934151785714285,0.05998883928571429,0.27308872767857145,0.10089246961805555
Hybrid (a=0.7),0.2890625,0.059933035714285716,0.27329799107142855,0.1007754371279762
CF (damped user mean),0.16713169642857142,0.03459821428571429,0.15794735863095236,0.059291682167658726
